Full, Raw
"tf.raw_ops.FractionalAvgPoolGrad(
    orig_input_tensor_shape,
    out_backprop,
    row_pooling_sequence,
    col_pooling_sequence,
    overlapping=False,
    name=None
)
",tf.raw_ops.FractionalAvgPoolGrad
"tf.raw_ops.FractionalAvgPoolGrad(
    orig_input_tensor_shape,
    out_backprop,
    row_pooling_sequence,
    col_pooling_sequence,
    overlapping=False,
    name=None
)
",tf.raw_ops.FractionalAvgPoolGrad
"tf.raw_ops.FractionalAvgPoolGrad(
    orig_input_tensor_shape,
    out_backprop,
    row_pooling_sequence,
    col_pooling_sequence,
    overlapping=False,
    name=None
)
",tf.raw_ops.FractionalAvgPoolGrad
"tf.raw_ops.ExperimentalDatasetToTFRecord(
    input_dataset, filename, compression_type, name=None
)
",tf.raw_ops.ExperimentalDatasetToTFRecord
"tf.raw_ops.UncompressElement(
    compressed, output_types, output_shapes, name=None
)
",tf.raw_ops.UncompressElement
"tf.raw_ops.SparseTensorSliceDataset(
    indices, values, dense_shape, name=None
)
",tf.raw_ops.SparseTensorSliceDataset
"tf.raw_ops.StringNGrams(
    data,
    data_splits,
    separator,
    ngram_widths,
    left_pad,
    right_pad,
    pad_width,
    preserve_short_sequences,
    name=None
)
",tf.raw_ops.StringNGrams
"tf.raw_ops.QuantizeAndDequantizeV4Grad(
    gradients, input, input_min, input_max, axis=-1, name=None
)
",tf.raw_ops.QuantizeAndDequantizeV4Grad
"tf.raw_ops.MatrixDiagPartV2(
    input, k, padding_value, name=None
)
",tf.raw_ops.MatrixDiagPartV2
"tf.raw_ops.TensorListReserve(
    element_shape, num_elements, element_dtype, name=None
)
",tf.raw_ops.TensorListReserve
"tf.raw_ops.RaggedGather(
    params_nested_splits,
    params_dense_values,
    indices,
    OUTPUT_RAGGED_RANK,
    name=None
)
",tf.raw_ops.RaggedGather
"tf.raw_ops.RaggedGather(
    params_nested_splits,
    params_dense_values,
    indices,
    OUTPUT_RAGGED_RANK,
    name=None
)
",tf.raw_ops.RaggedGather
"tf.raw_ops.ResourceScatterDiv(
    resource, indices, updates, name=None
)
",tf.raw_ops.ResourceScatterDiv
"tf.raw_ops.SparseReshape(
    input_indices, input_shape, new_shape, name=None
)
",tf.raw_ops.SparseReshape
"tf.raw_ops.Restore(
    file_pattern, tensor_name, dt, preferred_shard=-1, name=None
)
",tf.raw_ops.Restore
"tf.raw_ops.RestoreSlice(
    file_pattern,
    tensor_name,
    shape_and_slice,
    dt,
    preferred_shard=-1,
    name=None
)
",tf.raw_ops.RestoreSlice
"tf.raw_ops.RaggedTensorToTensor(
    shape,
    values,
    default_value,
    row_partition_tensors,
    row_partition_types,
    name=None
)
",tf.raw_ops.RaggedTensorToTensor
"tf.raw_ops.CompressElement(
    components, name=None
)
",tf.raw_ops.CompressElement
"tf.raw_ops.SparseDenseCwiseDiv(
    sp_indices, sp_values, sp_shape, dense, name=None
)
",tf.raw_ops.SparseDenseCwiseDiv
"tf.raw_ops.SparseCountSparseOutput(
    indices,
    values,
    dense_shape,
    weights,
    binary_output,
    minlength=-1,
    maxlength=-1,
    name=None
)
",tf.raw_ops.SparseCountSparseOutput
"tf.strings.substr(
    input, pos, len, unit='BYTE', name=None
)
",tf.strings.substr
"tf.transpose(
    a, perm=None, conjugate=False, name='transpose'
)
",tf.transpose
"tf.io.decode_raw(
    input_bytes, out_type, little_endian=True, fixed_length=None, name=None
)
",tf.io.decode_raw
"tf.raw_ops.CTCLoss(
    inputs,
    labels_indices,
    labels_values,
    sequence_length,
    preprocess_collapse_repeated=False,
    ctc_merge_repeated=True,
    ignore_longer_outputs_than_inputs=False,
    name=None
)
",tf.raw_ops.CTCLoss
"tf.raw_ops.CTCLoss(
    inputs,
    labels_indices,
    labels_values,
    sequence_length,
    preprocess_collapse_repeated=False,
    ctc_merge_repeated=True,
    ignore_longer_outputs_than_inputs=False,
    name=None
)
",tf.raw_ops.CTCLoss
"tf.raw_ops.CTCLoss(
    inputs,
    labels_indices,
    labels_values,
    sequence_length,
    preprocess_collapse_repeated=False,
    ctc_merge_repeated=True,
    ignore_longer_outputs_than_inputs=False,
    name=None
)
",tf.raw_ops.CTCLoss
"tf.raw_ops.BandedTriangularSolve(
    matrix, rhs, lower=True, adjoint=False, name=None
)
",tf.raw_ops.BandedTriangularSolve
"tf.raw_ops.QuantizeAndDequantizeV2(
    input,
    input_min,
    input_max,
    signed_input=True,
    num_bits=8,
    range_given=False,
    round_mode='HALF_TO_EVEN',
    narrow_range=False,
    axis=-1,
    name=None
)
",tf.raw_ops.QuantizeAndDequantizeV2
"tf.raw_ops.SparseReshape(
    input_indices, input_shape, new_shape, name=None
)
",tf.raw_ops.SparseReshape
"tf.raw_ops.SparseReshape(
    input_indices, input_shape, new_shape, name=None
)
",tf.raw_ops.SparseReshape
"tf.raw_ops.SparseReshape(
    input_indices, input_shape, new_shape, name=None
)
",tf.raw_ops.SparseReshape
"tf.raw_ops.SparseSparseMinimum(
    a_indices, a_values, a_shape, b_indices, b_values, b_shape, name=None
)
",tf.raw_ops.SparseSparseMinimum
"tf.raw_ops.SparseSparseMinimum(
    a_indices, a_values, a_shape, b_indices, b_values, b_shape, name=None
)
",tf.raw_ops.SparseSparseMinimum
"tf.raw_ops.SparseSparseMinimum(
    a_indices, a_values, a_shape, b_indices, b_values, b_shape, name=None
)
",tf.raw_ops.SparseSparseMinimum
"tf.raw_ops.SparseAdd(
    a_indices,
    a_values,
    a_shape,
    b_indices,
    b_values,
    b_shape,
    thresh,
    name=None
)
",tf.raw_ops.SparseAdd
"tf.raw_ops.SparseAdd(
    a_indices,
    a_values,
    a_shape,
    b_indices,
    b_values,
    b_shape,
    thresh,
    name=None
)
",tf.raw_ops.SparseAdd
"tf.raw_ops.SparseAdd(
    a_indices,
    a_values,
    a_shape,
    b_indices,
    b_values,
    b_shape,
    thresh,
    name=None
)
",tf.raw_ops.SparseAdd
"tf.raw_ops.RaggedTensorToTensor(
    shape,
    values,
    default_value,
    row_partition_tensors,
    row_partition_types,
    name=None
)
",tf.raw_ops.RaggedTensorToTensor
"tf.raw_ops.SpaceToBatchND(
    input, block_shape, paddings, name=None
)
",tf.raw_ops.SpaceToBatchND
"tf.split(
    value, num_or_size_splits, axis=0, num=None, name='split'
)
",tf.split
"tf.one_hot(
    indices,
    depth,
    on_value=None,
    off_value=None,
    axis=None,
    dtype=None,
    name=None
)
",tf.one_hot
"tf.raw_ops.FusedBatchNorm(
    x,
    scale,
    offset,
    mean,
    variance,
    epsilon=0.0001,
    exponential_avg_factor=1,
    data_format='NHWC',
    is_training=True,
    name=None
)
",tf.raw_ops.FusedBatchNorm
"tf.raw_ops.SparseSplit(
    split_dim, indices, values, shape, num_split, name=None
)
",tf.raw_ops.SparseSplit
"tf.raw_ops.Dequantize(
    input,
    min_range,
    max_range,
    mode='MIN_COMBINED',
    narrow_range=False,
    axis=-1,
    dtype=tf.dtypes.float32,
    name=None
)
",tf.raw_ops.Dequantize
"tf.raw_ops.CTCBeamSearchDecoder(
    inputs,
    sequence_length,
    beam_width,
    top_paths,
    merge_repeated=True,
    name=None
)
",tf.raw_ops.CTCBeamSearchDecoder
"tf.raw_ops.FractionalAvgPoolGrad(
    orig_input_tensor_shape,
    out_backprop,
    row_pooling_sequence,
    col_pooling_sequence,
    overlapping=False,
    name=None
)
",tf.raw_ops.FractionalAvgPoolGrad
"tf.raw_ops.FractionalMaxPoolGrad(
    orig_input,
    orig_output,
    out_backprop,
    row_pooling_sequence,
    col_pooling_sequence,
    overlapping=False,
    name=None
)
",tf.raw_ops.FractionalMaxPoolGrad
"tf.raw_ops.AvgPool3DGrad(
    orig_input_shape,
    grad,
    ksize,
    strides,
    padding,
    data_format='NDHWC',
    name=None
)
",tf.raw_ops.AvgPool3DGrad
"tf.raw_ops.MaxPool3DGradGrad(
    orig_input,
    orig_output,
    grad,
    ksize,
    strides,
    padding,
    data_format='NDHWC',
    name=None
)
",tf.raw_ops.MaxPool3DGradGrad
"tf.raw_ops.MaxPool3DGradGrad(
    orig_input,
    orig_output,
    grad,
    ksize,
    strides,
    padding,
    data_format='NDHWC',
    name=None
)
",tf.raw_ops.MaxPool3DGradGrad
"tf.raw_ops.MaxPoolGradWithArgmax(
    input,
    grad,
    argmax,
    ksize,
    strides,
    padding,
    include_batch_in_index=False,
    name=None
)
",tf.raw_ops.MaxPoolGradWithArgmax
"tf.raw_ops.ReverseSequence(
    input, seq_lengths, seq_dim, batch_dim=0, name=None
)
",tf.raw_ops.ReverseSequence
"tf.raw_ops.ReverseSequence(
    input, seq_lengths, seq_dim, batch_dim=0, name=None
)
",tf.raw_ops.ReverseSequence
"tf.raw_ops.SdcaOptimizer(
    sparse_example_indices,
    sparse_feature_indices,
    sparse_feature_values,
    dense_features,
    example_weights,
    example_labels,
    sparse_indices,
    sparse_weights,
    dense_weights,
    example_state_data,
    loss_type,
    l1,
    l2,
    num_loss_partitions,
    num_inner_iterations,
    adaptative=True,
    name=None
)
",tf.raw_ops.SdcaOptimizer
"tf.raw_ops.SdcaOptimizer(
    sparse_example_indices,
    sparse_feature_indices,
    sparse_feature_values,
    dense_features,
    example_weights,
    example_labels,
    sparse_indices,
    sparse_weights,
    dense_weights,
    example_state_data,
    loss_type,
    l1,
    l2,
    num_loss_partitions,
    num_inner_iterations,
    adaptative=True,
    name=None
)
",tf.raw_ops.SdcaOptimizer
"tf.raw_ops.DrawBoundingBoxesV2(
    images, boxes, colors, name=None
)
",tf.raw_ops.DrawBoundingBoxesV2
"tf.raw_ops.RequantizationRange(
    input, input_min, input_max, name=None
)
",tf.raw_ops.RequantizationRange
"tf.raw_ops.MaxPoolGradWithArgmax(
    input,
    grad,
    argmax,
    ksize,
    strides,
    padding,
    include_batch_in_index=False,
    name=None
)
",tf.raw_ops.MaxPoolGradWithArgmax
"tf.raw_ops.SparseDenseCwiseMul(
    sp_indices, sp_values, sp_shape, dense, name=None
)
",tf.raw_ops.SparseDenseCwiseMul
"tf.raw_ops.ParameterizedTruncatedNormal(
    shape, means, stdevs, minvals, maxvals, seed=0, seed2=0, name=None
)
",tf.raw_ops.ParameterizedTruncatedNormal
"tf.raw_ops.SparseFillEmptyRows(
    indices, values, dense_shape, default_value, name=None
)
",tf.raw_ops.SparseFillEmptyRows
"tf.raw_ops.EditDistance(
    hypothesis_indices,
    hypothesis_values,
    hypothesis_shape,
    truth_indices,
    truth_values,
    truth_shape,
    normalize=True,
    name=None
)
",tf.raw_ops.EditDistance
"tf.raw_ops.EditDistance(
    hypothesis_indices,
    hypothesis_values,
    hypothesis_shape,
    truth_indices,
    truth_values,
    truth_shape,
    normalize=True,
    name=None
)
",tf.raw_ops.EditDistance
"tf.raw_ops.RFFT(
    input,
    fft_length,
    Tcomplex=tf.dtypes.complex64,
    name=None
)
",tf.raw_ops.RFFT
"tf.raw_ops.IRFFT(
    input,
    fft_length,
    Treal=tf.dtypes.float32,
    name=None
)
",tf.raw_ops.IRFFT
"tf.raw_ops.LoadAndRemapMatrix(
    ckpt_path,
    old_tensor_name,
    row_remapping,
    col_remapping,
    initializing_values,
    num_rows,
    num_cols,
    max_rows_in_memory=-1,
    name=None
)
",tf.raw_ops.LoadAndRemapMatrix
"tf.raw_ops.UnicodeEncode(
    input_values,
    input_splits,
    output_encoding,
    errors='replace',
    replacement_char=65533,
    name=None
)
",tf.raw_ops.UnicodeEncode
"tf.raw_ops.UnicodeEncode(
    input_values,
    input_splits,
    output_encoding,
    errors='replace',
    replacement_char=65533,
    name=None
)
",tf.raw_ops.UnicodeEncode
"tf.raw_ops.SparseSplit(
    split_dim, indices, values, shape, num_split, name=None
)
",tf.raw_ops.SparseSplit
"tf.raw_ops.Reverse(
    tensor, dims, name=None
)
",tf.raw_ops.Reverse
"tf.raw_ops.SparseMatMul(
    a,
    b,
    transpose_a=False,
    transpose_b=False,
    a_is_sparse=False,
    b_is_sparse=False,
    name=None
)
",tf.raw_ops.SparseMatMul
"tf.raw_ops.FusedBatchNorm(
    x,
    scale,
    offset,
    mean,
    variance,
    epsilon=0.0001,
    exponential_avg_factor=1,
    data_format='NHWC',
    is_training=True,
    name=None
)
",tf.raw_ops.FusedBatchNorm
"tf.raw_ops.DenseCountSparseOutput(
    values, weights, binary_output, minlength=-1, maxlength=-1, name=None
)
",tf.raw_ops.DenseCountSparseOutput
"tf.raw_ops.UnsortedSegmentJoin(
    inputs, segment_ids, num_segments, separator='', name=None
)
",tf.raw_ops.UnsortedSegmentJoin
"tf.raw_ops.QuantizeAndDequantizeV3(
    input,
    input_min,
    input_max,
    num_bits,
    signed_input=True,
    range_given=True,
    narrow_range=False,
    axis=-1,
    name=None
)
",tf.raw_ops.QuantizeAndDequantizeV3
"tf.raw_ops.MatrixTriangularSolve(
    matrix, rhs, lower=True, adjoint=False, name=None
)
",tf.raw_ops.MatrixTriangularSolve
"tf.raw_ops.FractionalAvgPool(
    value,
    pooling_ratio,
    pseudo_random=False,
    overlapping=False,
    deterministic=False,
    seed=0,
    seed2=0,
    name=None
)
",tf.raw_ops.FractionalAvgPool
"tf.raw_ops.QuantizedAdd(
    x,
    y,
    min_x,
    max_x,
    min_y,
    max_y,
    Toutput=tf.dtypes.qint32,
    name=None
)
",tf.raw_ops.QuantizedAdd
"tf.raw_ops.QuantizedBatchNormWithGlobalNormalization(
    t,
    t_min,
    t_max,
    m,
    m_min,
    m_max,
    v,
    v_min,
    v_max,
    beta,
    beta_min,
    beta_max,
    gamma,
    gamma_min,
    gamma_max,
    out_type,
    variance_epsilon,
    scale_after_normalization,
    name=None
)
",tf.raw_ops.QuantizedBatchNormWithGlobalNormalization
"tf.raw_ops.QuantizedBatchNormWithGlobalNormalization(
    t,
    t_min,
    t_max,
    m,
    m_min,
    m_max,
    v,
    v_min,
    v_max,
    beta,
    beta_min,
    beta_max,
    gamma,
    gamma_min,
    gamma_max,
    out_type,
    variance_epsilon,
    scale_after_normalization,
    name=None
)
",tf.raw_ops.QuantizedBatchNormWithGlobalNormalization
"tf.raw_ops.QuantizedBatchNormWithGlobalNormalization(
    t,
    t_min,
    t_max,
    m,
    m_min,
    m_max,
    v,
    v_min,
    v_max,
    beta,
    beta_min,
    beta_max,
    gamma,
    gamma_min,
    gamma_max,
    out_type,
    variance_epsilon,
    scale_after_normalization,
    name=None
)
",tf.raw_ops.QuantizedBatchNormWithGlobalNormalization
"tf.raw_ops.QuantizedBiasAdd(
    input, bias, min_input, max_input, min_bias, max_bias, out_type, name=None
)
",tf.raw_ops.QuantizedBiasAdd
"tf.raw_ops.CTCGreedyDecoder(
    inputs, sequence_length, merge_repeated=False, blank_index=-1, name=None
)
",tf.raw_ops.CTCGreedyDecoder
"tf.raw_ops.QuantizeAndDequantizeV4Grad(
    gradients, input, input_min, input_max, axis=-1, name=None
)
",tf.raw_ops.QuantizeAndDequantizeV4Grad
"tf.raw_ops.Conv2DBackpropFilter(
    input,
    filter_sizes,
    out_backprop,
    strides,
    padding,
    use_cudnn_on_gpu=True,
    explicit_paddings=[],
    data_format='NHWC',
    dilations=[1, 1, 1, 1],
    name=None
)
",tf.raw_ops.Conv2DBackpropFilter
"tf.raw_ops.Conv2DBackpropFilter(
    input,
    filter_sizes,
    out_backprop,
    strides,
    padding,
    use_cudnn_on_gpu=True,
    explicit_paddings=[],
    data_format='NHWC',
    dilations=[1, 1, 1, 1],
    name=None
)
",tf.raw_ops.Conv2DBackpropFilter
"tf.raw_ops.QuantizedReshape(
    tensor, shape, input_min, input_max, name=None
)
",tf.raw_ops.QuantizedReshape
"tf.raw_ops.QuantizedResizeBilinear(
    images,
    size,
    min,
    max,
    align_corners=False,
    half_pixel_centers=False,
    name=None
)
",tf.raw_ops.QuantizedResizeBilinear
"tf.raw_ops.SparseConcat(
    indices, values, shapes, concat_dim, name=None
)
",tf.raw_ops.SparseConcat
"tf.raw_ops.QuantizedMul(
    x,
    y,
    min_x,
    max_x,
    min_y,
    max_y,
    Toutput=tf.dtypes.qint32,
    name=None
)
",tf.raw_ops.QuantizedMul
"tf.raw_ops.DrawBoundingBoxes(
    images, boxes, name=None
)
",tf.raw_ops.DrawBoundingBoxes
"tf.raw_ops.RaggedCross(
    ragged_values,
    ragged_row_splits,
    sparse_indices,
    sparse_values,
    sparse_shape,
    dense_inputs,
    input_order,
    hashed_output,
    num_buckets,
    hash_key,
    out_values_type,
    out_row_splits_type,
    name=None
)
",tf.raw_ops.RaggedCross
"tf.raw_ops.EncodePng(
    image, compression=-1, name=None
)
",tf.raw_ops.EncodePng
"tf.raw_ops.SparseMatrixSparseCholesky(
    input, permutation, type, name=None
)
",tf.raw_ops.SparseMatrixSparseCholesky
"tf.raw_ops.QuantizedMul(
    x,
    y,
    min_x,
    max_x,
    min_y,
    max_y,
    Toutput=tf.dtypes.qint32,
    name=None
)
",tf.raw_ops.QuantizedMul
"tf.raw_ops.QuantizedConv2D(
    input,
    filter,
    min_input,
    max_input,
    min_filter,
    max_filter,
    strides,
    padding,
    out_type=tf.dtypes.qint32,
    dilations=[1, 1, 1, 1],
    name=None
)
",tf.raw_ops.QuantizedConv2D
"tf.raw_ops.QuantizedConv2D(
    input,
    filter,
    min_input,
    max_input,
    min_filter,
    max_filter,
    strides,
    padding,
    out_type=tf.dtypes.qint32,
    dilations=[1, 1, 1, 1],
    name=None
)
",tf.raw_ops.QuantizedConv2D
"tf.raw_ops.Conv2D(
    input,
    filter,
    strides,
    padding,
    use_cudnn_on_gpu=True,
    explicit_paddings=[],
    data_format='NHWC',
    dilations=[1, 1, 1, 1],
    name=None
)
",tf.raw_ops.Conv2D
"tf.raw_ops.Conv2DBackpropInput(
    input_sizes,
    filter,
    out_backprop,
    strides,
    padding,
    use_cudnn_on_gpu=True,
    explicit_paddings=[],
    data_format='NHWC',
    dilations=[1, 1, 1, 1],
    name=None
)
",tf.raw_ops.Conv2DBackpropInput
"tf.raw_ops.Conv2DBackpropFilter(
    input,
    filter_sizes,
    out_backprop,
    strides,
    padding,
    use_cudnn_on_gpu=True,
    explicit_paddings=[],
    data_format='NHWC',
    dilations=[1, 1, 1, 1],
    name=None
)
",tf.raw_ops.Conv2DBackpropFilter
"tf.raw_ops.AddManySparseToTensorsMap(
    sparse_indices,
    sparse_values,
    sparse_shape,
    container='',
    shared_name='',
    name=None
)
",tf.raw_ops.AddManySparseToTensorsMap
"tf.raw_ops.Conv3DBackpropFilterV2(
    input,
    filter_sizes,
    out_backprop,
    strides,
    padding,
    data_format='NDHWC',
    dilations=[1, 1, 1, 1, 1],
    name=None
)
",tf.raw_ops.Conv3DBackpropFilterV2
"tf.raw_ops.Conv3DBackpropInputV2(
    input_sizes,
    filter,
    out_backprop,
    strides,
    padding,
    data_format='NDHWC',
    dilations=[1, 1, 1, 1, 1],
    name=None
)
",tf.raw_ops.Conv3DBackpropInputV2
"tf.raw_ops.SparseCountSparseOutput(
    indices,
    values,
    dense_shape,
    weights,
    binary_output,
    minlength=-1,
    maxlength=-1,
    name=None
)
",tf.raw_ops.SparseCountSparseOutput
"tf.raw_ops.SparseCross(
    indices,
    values,
    shapes,
    dense_inputs,
    hashed_output,
    num_buckets,
    hash_key,
    out_type,
    internal_type,
    name=None
)
",tf.raw_ops.SparseCross
"tf.raw_ops.GetSessionTensor(
    handle, dtype, name=None
)
",tf.raw_ops.GetSessionTensor
"tf.raw_ops.Conv3D(
    input,
    filter,
    strides,
    padding,
    data_format='NDHWC',
    dilations=[1, 1, 1, 1, 1],
    name=None
)
",tf.raw_ops.Conv3D
"tf.raw_ops.Conv3D(
    input,
    filter,
    strides,
    padding,
    data_format='NDHWC',
    dilations=[1, 1, 1, 1, 1],
    name=None
)
",tf.raw_ops.Conv3D
"tf.raw_ops.MatrixDiagV2(
    diagonal, k, num_rows, num_cols, padding_value, name=None
)
",tf.raw_ops.MatrixDiagV2
"tf.raw_ops.RaggedBincount(
    splits, values, size, weights, binary_output=False, name=None
)
",tf.raw_ops.RaggedBincount
"tf.raw_ops.ImmutableConst(
    dtype, shape, memory_region_name, name=None
)
",tf.raw_ops.ImmutableConst
"tf.raw_ops.ImmutableConst(
    dtype, shape, memory_region_name, name=None
)
",tf.raw_ops.ImmutableConst
"tf.raw_ops.DataFormatVecPermute(
    x, src_format='NHWC', dst_format='NCHW', name=None
)
",tf.raw_ops.DataFormatVecPermute
"tf.raw_ops.DataFormatVecPermute(
    x, src_format='NHWC', dst_format='NCHW', name=None
)
",tf.raw_ops.DataFormatVecPermute
"tf.raw_ops.DataFormatVecPermute(
    x, src_format='NHWC', dst_format='NCHW', name=None
)
",tf.raw_ops.DataFormatVecPermute
"tf.raw_ops.DataFormatVecPermute(
    x, src_format='NHWC', dst_format='NCHW', name=None
)
",tf.raw_ops.DataFormatVecPermute
"tf.raw_ops.DataFormatVecPermute(
    x, src_format='NHWC', dst_format='NCHW', name=None
)
",tf.raw_ops.DataFormatVecPermute
"tf.raw_ops.DataFormatVecPermute(
    x, src_format='NHWC', dst_format='NCHW', name=None
)
",tf.raw_ops.DataFormatVecPermute
"tf.raw_ops.DataFormatVecPermute(
    x, src_format='NHWC', dst_format='NCHW', name=None
)
",tf.raw_ops.DataFormatVecPermute
"tf.raw_ops.DataFormatVecPermute(
    x, src_format='NHWC', dst_format='NCHW', name=None
)
",tf.raw_ops.DataFormatVecPermute
"tf.image.crop_and_resize(
    image,
    boxes,
    box_indices,
    crop_size,
    method='bilinear',
    extrapolation_value=0.0,
    name=None
)
",tf.image.crop_and_resize
"tf.random.truncated_normal(
    shape,
    mean=0.0,
    stddev=1.0,
    dtype=tf.dtypes.float32,
    seed=None,
    name=None
)
",tf.random.truncated_normal
"tf.quantization.quantize_and_dequantize(
    input,
    input_min,
    input_max,
    signed_input=True,
    num_bits=8,
    range_given=False,
    round_mode='HALF_TO_EVEN',
    name=None,
    narrow_range=False,
    axis=None
)
",tf.quantization.quantize_and_dequantize
"tf.experimental.dlpack.to_dlpack(
    tf_tensor
)
",tf.experimental.dlpack.to_dlpack
"tf.experimental.dlpack.to_dlpack(
    tf_tensor
)
",tf.experimental.dlpack.to_dlpack
"tf.raw_ops.SparseFillEmptyRowsGrad(
    reverse_index_map, grad_values, name=None
)
",tf.raw_ops.SparseFillEmptyRowsGrad
"tf.raw_ops.SparseCountSparseOutput(
    indices,
    values,
    dense_shape,
    weights,
    binary_output,
    minlength=-1,
    maxlength=-1,
    name=None
)
",tf.raw_ops.SparseCountSparseOutput
"tf.raw_ops.SparseCountSparseOutput(
    indices,
    values,
    dense_shape,
    weights,
    binary_output,
    minlength=-1,
    maxlength=-1,
    name=None
)
",tf.raw_ops.SparseCountSparseOutput
"tf.raw_ops.SparseCountSparseOutput(
    indices,
    values,
    dense_shape,
    weights,
    binary_output,
    minlength=-1,
    maxlength=-1,
    name=None
)
",tf.raw_ops.SparseCountSparseOutput
"tf.raw_ops.SparseCountSparseOutput(
    indices,
    values,
    dense_shape,
    weights,
    binary_output,
    minlength=-1,
    maxlength=-1,
    name=None
)
",tf.raw_ops.SparseCountSparseOutput
"tf.raw_ops.SparseCountSparseOutput(
    indices,
    values,
    dense_shape,
    weights,
    binary_output,
    minlength=-1,
    maxlength=-1,
    name=None
)
",tf.raw_ops.SparseCountSparseOutput
"tf.raw_ops.SparseCountSparseOutput(
    indices,
    values,
    dense_shape,
    weights,
    binary_output,
    minlength=-1,
    maxlength=-1,
    name=None
)
",tf.raw_ops.SparseCountSparseOutput
"tf.raw_ops.SparseCountSparseOutput(
    indices,
    values,
    dense_shape,
    weights,
    binary_output,
    minlength=-1,
    maxlength=-1,
    name=None
)
",tf.raw_ops.SparseCountSparseOutput
"tf.raw_ops.RaggedCountSparseOutput(
    splits,
    values,
    weights,
    binary_output,
    minlength=-1,
    maxlength=-1,
    name=None
)
",tf.raw_ops.RaggedCountSparseOutput
"tf.raw_ops.RaggedCountSparseOutput(
    splits,
    values,
    weights,
    binary_output,
    minlength=-1,
    maxlength=-1,
    name=None
)
",tf.raw_ops.RaggedCountSparseOutput
"tf.raw_ops.RaggedCountSparseOutput(
    splits,
    values,
    weights,
    binary_output,
    minlength=-1,
    maxlength=-1,
    name=None
)
",tf.raw_ops.RaggedCountSparseOutput
"tf.raw_ops.RaggedCountSparseOutput(
    splits,
    values,
    weights,
    binary_output,
    minlength=-1,
    maxlength=-1,
    name=None
)
",tf.raw_ops.RaggedCountSparseOutput
"tf.raw_ops.RaggedCountSparseOutput(
    splits,
    values,
    weights,
    binary_output,
    minlength=-1,
    maxlength=-1,
    name=None
)
",tf.raw_ops.RaggedCountSparseOutput
"tf.raw_ops.RaggedCountSparseOutput(
    splits,
    values,
    weights,
    binary_output,
    minlength=-1,
    maxlength=-1,
    name=None
)
",tf.raw_ops.RaggedCountSparseOutput
"tf.raw_ops.RaggedCountSparseOutput(
    splits,
    values,
    weights,
    binary_output,
    minlength=-1,
    maxlength=-1,
    name=None
)
",tf.raw_ops.RaggedCountSparseOutput
"tf.raw_ops.StringNGrams(
    data,
    data_splits,
    separator,
    ngram_widths,
    left_pad,
    right_pad,
    pad_width,
    preserve_short_sequences,
    name=None
)
",tf.raw_ops.StringNGrams
